"date","report_url","report_title","report_description","report_type"
29 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160429.pdf","RBA Preview"," Rate Cut Back On The Table","Australia"
28 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160428B.pdf","Japan BOJ April 2016 MPM"," BOJ Surprises With Nothing Done","Japan"
28 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160428A.pdf","RBNZ Holds, But We See Further Easing Soon",,"New Zealand"
28 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160428.pdf","US Apr 16 FOMC"," Door Still Open For June But Fed Uncommitted ","United States"
27 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160427A.pdf","Malaysia"," Muhammad Ibrahim As New BNM Governor ","Malaysia"
27 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160427.pdf","Malaysia"," NTP 2015 Annual Report - Building Growth & Resilience","Malaysia"
26 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160426A.pdf","Singapore"," Better-than-Expected March Industrial Production To Support 1Q GDP","Singapore"
26 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160426.pdf","South Korea"," Growth Slowed In 1Q16","South Korea"
25 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160425A.pdf","Singapore"," March Inflation Fell 1% y/y, The Longest Continuous Decline On Record","Singapore"
25 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160425.pdf","Thailand"," March Exports Show Recovery Signs ","Thailand"
21 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160421.pdf","Indonesia"," BI Rate On Hold Ahead Of Benchmark Rate Change In August ","Indonesia"
20 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160420A.pdf","Malaysia"," March Inflation Lower-Than-Expected On Oil Decline","Malaysia"
20 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160420.pdf","Japan"," Exports & Imports Continued To Tumble In March","Japan"
19 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160419A.pdf","Thailand"," A Strategy For Dancing With The Dragon","Thailand"
19 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160419.pdf","South Korea"," BOK Holds For Another Month, Cuts Growth And Inflation Forecast","South Korea"
18 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160418.pdf","Singapore"," Worst NODX Print In March Since Feb 2013   ","Singapore"
15 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160415A.pdf","Indonesia"," Change In Benchmark Policy Rate    ","Indonesia"
15 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160415.pdf","China"," 1Q16 GDP A Positive Start For the Year","China"
14 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160414.pdf","Singapore"," MAS Surprises With A Neutral SGD NEER Slope Prescription","Singapore"
8 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160408.pdf","Malaysia"," Foreign Reserves Rise For Six Months","Malaysia"
7 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160407A.pdf","Singapore"," April Monetary Policy To Maintain Status Quo, Despite Still-Weak Economic Conditions","Singapore"
7 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160407.pdf","US March 2016 FOMC Minutes"," Fed Seen Cautioning Against April Rate Hike","United States"
6 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160406.pdf","Malaysia"," Exports Rebound 6.7% And Wider Trade Surplus In Feb","Malaysia"
5 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160405.pdf","RBA Holds But Flags Concern On High AUD",,"Australia"
1 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160401A.pdf","US"," Goldilocks March Jobs Report At 215,000","United States"
1 April 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160401.pdf","Monthly Sell Signals For USD Against SGD, EUR And AUD",,"Currency"
28 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160328.pdf","Thailand"," The Significance Of Transport Infrastructure To Growth","Thailand"
24 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160324C.pdf","Singapore Budget 2016"," More Precise, More Targeted Approach For The Future Economy","Singapore"
24 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160324B.pdf","Taiwan"," CBC Delivers 12.5bps Rate Cut As Expected","Taiwan"
24 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160324A.pdf","Singapore"," IP Fell 4.7% In Feb 2015, Manufacturing Woes Continue For 17 Months","Singapore"
24 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160324.pdf","Malaysia"," BNM 2015 Annual Report Soothing Slowdown Fears","Malaysia"
23 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160323A.pdf","Thailand"," The BoT Stays On Hold In March","Thailand"
23 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160323.pdf","Singapore"," Consumer Prices Fell For 16th Consecutive Month In February","Singapore"
17 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160317B.pdf","Indonesia"," Likely More Moderate Pace Of Monetary Easing In 2Q16","Indonesia"
17 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160317A.pdf","Singapore"," Better NODX In February A One-Month Wonder?","Singapore"
17 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160317.pdf","US March 2016 FOMC"," Fed Cautious About ""Global Economic And Financial Developments"", Scales Back Rates Expectations","United States"
15 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160315.pdf","Japan BOJ Mar 16 MPM"," Holding Fire, Fine-Tuning Negative Rate Policy","Japan"
11 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160311.pdf","ECB"," Super Mario Did It, But&hellip;","Eurozone"
10 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160310B.pdf","South Korea"," BOK On Hold, Wary Of The Impact Of Further Rate Cut","South Korea"
10 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160310A.pdf","RBNZ Surprises With Rate Cut",,"New Zealand"
10 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160310.pdf","Malaysia"," BNM Stands Pat on both OPR and SRR","Malaysia"
9 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160309.pdf","Singapore 2016 Budget Preview"," A Re-Focus On The Economy","Singapore"
8 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160308A.pdf","Malaysia"," Foreign Reserves Stable Amid Calmer Markets; Focus On Zeti's Successor","Malaysia"
8 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160308.pdf","ECB Preview"," Will Draghi Triumph In Whipping Deflation Now?","Eurozone"
7 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160307B.pdf","&#20013;&#22269;&#65306;2016&#24180;&#22686;&#38271;&#21644;&#25919;&#31574;&#30446;&#26631;&#35774;&#31435;",,"China (Chinese Version)"
7 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160307.pdf","China"," Growth And Policy Targets Set For 2016","China"
4 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160304A.pdf","US"," A Mixed February Jobs Report - Job Creation Beat Estimate At 242k But Wages Disappoint With -0.1% Decline","United States"
4 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160304.pdf","Malaysia"," January Export Disappoints With 2.8% Drop","Malaysia"
1 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160301B.pdf","&#20013;&#22269;&#65306;2016&#24180;&#39318;&#27425;&#38477;&#20934;",,"China (Chinese Version)"
1 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160301A.pdf","RBA Steady But Keeps To Easing Stance",,"Australia"
1 March 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160301.pdf","China"," First RRR Cut In 2016","China"
26 February 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160226B.pdf","China"," Shift In Monetary Policy Stance? ","China"
26 February 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160226A.pdf","Singapore"," Jan's IP Decline Narrowed To -0.5%y/y, Due To Pharmaceuticals And A Small Electronics Rebound","Singapore"
26 February 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160226.pdf","Border Trade Is Becoming A Driving Force For Thailand's Exports",,"Thailand"
25 February 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160225.pdf","Thailand"," January Exports Drop More Than Expected ","Thailand"
24 February 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160224A.pdf","Malaysia"," January Inflation Advances To 3.5% But Below Estimates","Malaysia"
24 February 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160224.pdf","Singapore"," Economy Grew 2% In 2015, The Slowest Pace In Six Years","Singapore"
23 February 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160223.pdf","Singapore"," Jan Consumer Prices Declined For 15 Months In A Row","Singapore"
19 February 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160219.pdf","FX Outlook"," Disconnect And Monetary Policy Divergence ","Currency"
18 February 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160218C.pdf","Indonesia"," BI Lowered Interest Rate By Another 25 bps    ","Indonesia"
18 February 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160218B.pdf","Malaysia"," 4Q15 GDP Growth Surprises at 4.5% y/y; Improved Current Account Surplus","Malaysia"
18 February 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160218A.pdf","Japan"," January Exports Record Bad Start To 2016","Japan"
18 February 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160218.pdf","US January 2016 FOMC Minutes"," External Concerns In Focus","United States"
17 February 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160217.pdf","Singapore"," Disappointing January NODX To Start Off 2016","Singapore"
16 February 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160216.pdf","South Korea"," No Move But Risk Of Further Easing Remains    ","South Korea"
15 February 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160215A.pdf","Thailand"," 2015 GDP Growth Rises To 2.8% In Line With Expectations  ","Thailand"
15 February 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160215.pdf","Japan"," 2015 Growth Anemic At 0.4% As 4Q GDP Shrinks 1.4%q/q","Japan"
5 February 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160205C.pdf","US"," Jan NFP Weaker At 151k But Wages Are Up 0.5%m/m","United States"
5 February 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160205B.pdf","Malaysia"," Weaker Exports In December; Full Year Up 1.9%","Malaysia"
5 February 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160205A.pdf","Indonesia"," Lowering Our 2016 Growth Outlook Despite Stronger-Than-Expected 4Q15","Indonesia"
5 February 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160205.pdf","BoE Turns More Dovish As Ian McCafferty Backtracks On Rate Hike Vote",,"United Kingdom"
3 February 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160203.pdf","Thailand"," The Policy Rate Is Kept On Hold In February","Thailand"
2 February 2016,"http://www.uobgroup.com/assets/pdfs/research/FN_160202.pdf","RBA Keeps OCR On Hold Again",,"Australia"
29 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160129A.pdf","Japan BOJ Jan16 MPM"," Starts 2016 With Surprise Negative Rates","Japan"
29 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160129.pdf","Malaysia"," Budget 2016 Recalibrated With Spending Cuts; Keeps Fiscal Deficit Target Intact, Cuts Growth Target","Malaysia"
28 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160128B.pdf","RBNZ Sends Dovish Signal",,"New Zealand"
28 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160128A.pdf","Thailand"," Extreme Drought May Threaten The Economic Recovery","Thailand"
28 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160128.pdf","US January 2016 FOMC"," Expectedly Unchanged","United States"
26 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160126B.pdf","Thailand"," December Exports Remain Negative ","Thailand"
26 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160126A.pdf","Singapore"," Manufacturing Fell 5.2% In 2015, The Sharpest Annual Contraction On Record","Singapore"
26 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160126.pdf","South Korea"," Growth Momentum Moderated In 4Q15","South Korea"
25 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160125A.pdf","Singapore"," 2015 Inflation Fell 0.5% And Should Remain Subdued In 2016","Singapore"
25 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160125.pdf","Japan"," December Trade Surplus Masks Export Weakness","Japan"
22 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160122A.pdf","Draghi Hints At Further Easing In March",,"Eurozone"
22 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160122.pdf","Malaysia"," BNM Keeps OPR Unchanged But Cuts SRR By 50bps","Malaysia"
20 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160120.pdf","Malaysia"," December Inflation Edges Up But Risks Tilt To Growth ","Malaysia"
19 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160119A.pdf","&#20013;&#22269;&#65306;2015&#24180;&#31532;&#22235;&#23395;&#24230;GDP&#22686;&#36895;&#31526;&#21512;&#39044;&#26399;",,"China (Chinese Version)"
19 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160119.pdf","China"," 4Q15 GDP Growth In-line With Expectations","China"
18 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160118C.pdf","&#20013;&#22269;&#65306;&#22830;&#34892;&#20934;&#22791;&#36827;&#19968;&#27493;&#25910;&#32039;&#31163;&#23736;&#20154;&#27665;&#24065;&#27969;&#21160;&#24615;",,"China (Chinese Version)"
18 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160118B.pdf","China"," PBoC Poised To Tighten Further Offshore CNH Liquidity ","China"
18 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160118A.pdf","Singapore December NODX"," A Bad End To A Bad Year","Singapore"
18 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160118.pdf","Taiwan"," DPP's Landslide Wins In Presidential And Legislative Elections","Taiwan"
15 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160115.pdf","GBP to see further pressure; BoE's lift off pushed back",,"United Kingdom"
14 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160114A.pdf","Indonesia"," BI Restarts Rate Cut, Further Easing Hinges On IDR Stability    ","Indonesia"
14 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160114.pdf","South Korea"," Depressed Oil Prices To Keep BoK On Hold With Prospect Of Rate Cut If Recovery Stalls","South Korea"
13 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160113.pdf","Malaysia"," Government to Revise Budget 2016 based on US$30/bbl","Malaysia"
8 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160108.pdf","US"," Dec NFP At 292k, US Creates 2.65 Million Jobs In 2015","United States"
7 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160107B.pdf","China"," The Beginning Of Trend RMB Depreciation? ","China"
7 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160107A.pdf","Malaysia"," Less Buoyant Exports In November ","Malaysia"
7 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160107.pdf","US Dec 2015 FOMC Minutes",,"United States"
4 January 2016,"http://www.uobgroup.com/assets/pdfs/research/Flash_160104.pdf","Singapore"," 2015 GDP Grew 2.1% On Stronger-than-expected 4Q Numbers","Singapore"
24 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151224A.pdf","Singapore"," Manufacturing Sector Contracted For 10 Consecutive Months","Singapore"
24 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151224.pdf","Malaysia"," Muted Inflation Despite Higher Costs On The Ground","Malaysia"
23 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151223.pdf","Singapore"," 13 Months of Negative Prices & More to Come?","Singapore"
22 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151222.pdf","China"," Key Economic Drivers Outlined For 2016","China"
21 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151221.pdf","Japan BOJ Dec MPM"," Unexpected Easing To End The Year 201","Japan"
17 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151217C.pdf","Indonesia"," BI Maintains Rate Post Fed Hike","Indonesia"
17 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151217B.pdf","Taiwan"," US Fed Lift-Off Failed To Hold Back CBC ","Taiwan"
17 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151217A.pdf","Singapore"," Worse-than-expected NODX Performance In November","Singapore"
17 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151217.pdf","US December 2015 FOMC"," Liftoff Finally With Another Four 25bps Hikes Likely In 2016","United States"
16 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151216B.pdf","Thailand"," BoT Stands Pat In December, As Expected","Thailand"
16 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151216A.pdf","South Korea"," BoK Lowers Inflation Target ","South Korea"
16 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151216.pdf","Japan BOJ Dec MPM Preview"," No Year-End Surprise Expected","Japan"
14 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151214B.pdf","&#20013;&#22269;&#65306;&#27491;&#22312;&#36143;&#24443;&#23454;&#26045;&#20154;&#27665;&#24065;&#36135;&#24065;&#31726;&#23376;",,"China (Chinese Version)"
14 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151214A.pdf","US December 2015 FOMC Preview"," Liftoff Finally?","United States"
14 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151214.pdf","China"," Implementing CNY Currency Basket","China"
11 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151211.pdf","Malaysia"," Managing Fiscal Risks As Oil Prices Fall Below US$40","Malaysia"
10 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151210A.pdf","South Korea"," Keeping Interest Rate Steady As Expected","South Korea"
10 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151210.pdf","RBNZ Delivers As Expected; Kiwi Higher",,"New Zealand"
9 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151209.pdf","Malaysia"," Foreign Reserves On The Mend ","Malaysia"
8 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151208.pdf","RBNZ Preview"," Cut Expected But Downside In NZD Limited","New Zealand"
4 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151204B.pdf","US"," 211k Nov NFP Keeps Dec FOMC On Track For Rate Hike","United States"
4 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151204A.pdf","Malaysia"," Strong Exports Continue In October ","Malaysia"
4 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151204.pdf","ECB"," Lack Of Christmas Cheer From Santa Mario","Eurozone"
2 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151202.pdf","China"," To The SDR And Beyond (Chinese)","China (Chinese Version)"
1 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151201A.pdf","RBA Keeps To 2% Cash Rate",,"Australia"
1 December 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151201.pdf","China"," To The SDR And Beyond","China"
30 November 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151130.pdf","US"," Who Matters In FOMC 2016?","United States"
26 November 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151126A.pdf","ECB Preview"," What To Expect Of EUR/USD?","Eurozone"
26 November 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151126.pdf","Singapore"," 9 Months Of Manufacturing Decline & More To Come?","Singapore"
25 November 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151125B.pdf","US"," 3Q15 GDP Growth Up 2.1% On Smaller Inventory Correction","United States"
25 November 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151125A.pdf","Singapore"," No Technical Recession In 3Q As Robust Services Surprises","Singapore"
25 November 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151125.pdf","Thailand"," Exports Remain Negative In October","Thailand"
23 November 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151123.pdf","Singapore"," October Consumer Price Fell More Than Expected","Singapore"
20 November 2015,"http://www.uobgroup.com/assets/pdfs/research/Flash_151120.pdf","Malaysia"," Stable Inflation In October","Malaysia"
